id,name,lat,lon,address,rating,rating_count,confidence,url,match,city,state,country,zip_code
77RmZE8OkNBxSPniHIaoaw,Uncle Momo,40.818153,-74.223335,"702 Bloomfield Ave, Montclair, NJ 07042",3.9,485,,https://www.yelp.com/biz/uncle-momo-montclair-2?adjust_creative=S0_Na3BINI1ZPDtCFfQiZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S0_Na3BINI1ZPDtCFfQiZQ,term,Montclair,NJ,US,07042
tLSANSIu7ZRb-7-f4uNrBw,Good Chicken,40.80736,-74.21063,"114 Bloomfield Ave, Montclair, NJ 07042",4.8,78,,https://www.yelp.com/biz/good-chicken-montclair?adjust_creative=S0_Na3BINI1ZPDtCFfQiZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S0_Na3BINI1ZPDtCFfQiZQ,term,Montclair,NJ,US,07042
rEKThAlfEU3Dig4lu-JvTQ,30 Burgers,40.82828,-74.10229,"30 Park Ave, Rutherford, NJ 07070",4,164,,https://www.yelp.com/biz/30-burgers-rutherford?adjust_creative=S0_Na3BINI1ZPDtCFfQiZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S0_Na3BINI1ZPDtCFfQiZQ,term,Rutherford,NJ,US,07070
7ztNVUAfAyJXQLGU9BkPiw,Topaz Thai Restaurant,40.785764,-74.153591,"137 Washington Ave, Belleville, NJ 07109",4,531,,https://www.yelp.com/biz/topaz-thai-restaurant-belleville?adjust_creative=S0_Na3BINI1ZPDtCFfQiZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S0_Na3BINI1ZPDtCFfQiZQ,term,Belleville,NJ,US,07109
TExzWoDwkeNYiDBgUiKi5A,Cafe Bubamara,40.87659,-74.1243,"263 Parker Ave, Clifton, NJ 07011",4.5,616,,https://www.yelp.com/biz/cafe-bubamara-clifton?adjust_creative=S0_Na3BINI1ZPDtCFfQiZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S0_Na3BINI1ZPDtCFfQiZQ,term,Clifton,NJ,US,07011
bG9Tsue1s3VFOo3Cx6-wvw,Rola's Kitchen Mediterranean Grill,40.85117,-74.08505,"259 Valley Blvd, Wood-ridge, NJ 07075",4.5,248,,https://www.yelp.com/biz/rolas-kitchen-mediterranean-grill-wood-ridge?adjust_creative=S0_Na3BINI1ZPDtCFfQiZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S0_Na3BINI1ZPDtCFfQiZQ,term,Wood-ridge,NJ,US,07075
JRrTym2LzBbl_6UP2sw0Ig,Balochistan Restaurant,40.82000733363276,-73.9998121,"312 Bergen Blvd, Fairview, NJ 07022",4.2,6,,https://www.yelp.com/biz/balochistan-restaurant-fairview-2?adjust_creative=S0_Na3BINI1ZPDtCFfQiZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S0_Na3BINI1ZPDtCFfQiZQ,category+term,Fairview,NJ,US,07022
zRDWP2wdcxhbtkeibtC90w,Al-Basha,40.892004,-74.142444,"387 Crooks Ave, Paterson, NJ 07503",4.5,284,,https://www.yelp.com/biz/al-basha-paterson-8?adjust_creative=S0_Na3BINI1ZPDtCFfQiZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S0_Na3BINI1ZPDtCFfQiZQ,term,Paterson,NJ,US,07503
LPTLUk-q_XpTMpurv5mMog,Vezir,40.80880307035558,-74.11796282976866,"282 Ridge Rd, Lyndhurst, NJ 07071",4.8,22,,https://www.yelp.com/biz/vezir-lyndhurst?adjust_creative=S0_Na3BINI1ZPDtCFfQiZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S0_Na3BINI1ZPDtCFfQiZQ,term,Lyndhurst,NJ,US,07071
zj8Lq1T8KIC5zwFief15jg,Prince Street Pizza,40.72308755605564,-73.99454172108103,"27 Prince St, New York, NY 10012",4.3,5617,,https://www.yelp.com/biz/prince-street-pizza-new-york-2?adjust_creative=S0_Na3BINI1ZPDtCFfQiZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S0_Na3BINI1ZPDtCFfQiZQ,term,New York,NY,US,10012
